"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Garbage Not Collected","Environmental Services","Phone","MAR 09, 2020 12:25:36 PM","6##","TOURNIER","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 08:11:05 AM","9##","HANNA","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 09:39:40 AM","14##","GOYEAU","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 09:42:44 AM","13##","GOYEAU","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 09:34:39 AM","23##","CADILLAC","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 10:29:29 AM","8##","HALL","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 17, 2020 02:48:56 PM","8##","MORAND","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 12, 2020 12:42:37 PM","29##","PRINCESS","WARD 8"," "
"Garbage Not Collected","Environmental Services","Web Intake","MAR 02, 2020 10:45:03 AM"," "," ","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 13, 2020 03:51:13 PM","51##","TECUMSEH","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 08:36:44 AM","41##","DOUGALL","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 11:12:27 AM"," ","HANNA","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 02:08:38 PM","13##","CALVERT","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 03:43:45 PM","14##","HALLMARK","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 20, 2020 02:30:08 PM","70##","CHARLIE BROOKS","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 05, 2020 03:52:31 PM","2##","CRAWFORD","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 30, 2020 03:50:55 PM","22##","BYNG","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 04, 2020 11:11:56 AM","22##","BETHLEHEM","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 04, 2020 03:01:24 PM","36##","OUELLETTE","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 05, 2020 01:41:12 PM","5##","OAK","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 08:41:17 AM","9##","ELLIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 04:08:54 PM","11##","RANKIN","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 04:56:41 PM","7##","BRIDGE","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 11:00:23 AM","35##","PETER","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 09:46:41 AM","2##","PIERRE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 10, 2020 08:03:46 AM","87##","WYANDOTTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 09, 2020 02:21:46 PM","10##","LAKEVIEW","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 09, 2020 02:56:43 PM","15##","PROVINCIAL","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 09, 2020 03:04:02 PM","11##","BELLEPERCHE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 10, 2020 08:19:13 AM","36##","RIVERSIDE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 04, 2020 08:19:44 AM","14##","FELIX","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 04, 2020 08:30:21 AM","7##","SAMANTHA","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 04, 2020 03:42:48 PM","8##","NORTHWOOD","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 05, 2020 09:22:43 AM","7##","CABANA","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 05, 2020 09:44:50 AM","22##","MERCER","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 05, 2020 11:55:26 AM","9##","SOUTH PACIFIC","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 09:45:16 AM","12##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 10:24:36 AM","32##","SANDWICH","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 10:46:30 AM","16##","TOURANGEAU","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 11:32:34 AM","22##","MERCER","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 01:00:51 PM","8##","LAWRENCE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 01:53:10 PM","3##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 10:25:22 AM","28##","HAWKSBURY","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 10:46:19 AM","27##","PRINCESS","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 01:03:37 PM","4##","HAMNER","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 01:43:55 PM","31##","KENILWORTH","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 02:35:13 PM","28##","CALIFORNIA","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 02:44:57 PM","7##","NORTHWOOD","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 06, 2020 03:17:03 PM","19##","TOTTEN","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 02, 2020 10:00:09 AM","26##","PILLETTE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 02, 2020 03:01:56 PM","31##","ELMWOOD","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","APR 06, 2020 09:49:58 AM","15##","GOYEAU","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 03, 2020 04:15:26 PM","11##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 11:32:19 AM","11##","STANLEY","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 08:17:52 AM","10##","CATARAQUI","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 22, 2020 10:02:03 AM","9##","GLADSTONE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 12:02:29 PM","3##","AYLMER","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 06, 2020 12:41:07 PM","19##","LEDYARD","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 09, 2020 09:35:45 AM","15##","TECUMSEH","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 09, 2020 10:03:10 AM","11##","HALL","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 08:17:43 AM","51##","RIVERSIDE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 23, 2020 10:40:36 AM","30##","FOREST GLADE","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 10:36:27 AM","23##","GEORGE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 20, 2020 10:16:25 AM","23##","GLENWOOD","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 09:04:56 AM","6##","BRUCE","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 12:08:27 PM","9##","MARION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 14, 2020 11:38:15 AM","12##","PARENT","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 14, 2020 11:52:54 AM","10##","WYANDOTTE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 14, 2020 01:56:59 PM","15##","PIERRE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 14, 2020 02:49:44 PM","14##","PIERRE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 14, 2020 03:48:24 PM","15##","DOUGALL","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 14, 2020 04:16:46 PM","29##","DONNELLY","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 08:30:31 AM","14##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 14, 2020 04:33:34 PM","9##","CHATEAU","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 25, 2020 08:08:37 AM","11##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 25, 2020 04:28:33 PM","4##","OAK","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 17, 2020 09:13:11 AM","11##","EASTLAWN","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 02:10:48 PM","37##","RIBERDY","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 02:39:43 PM","12##","LABOUR","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 16, 2020 08:20:49 AM","8##","RIVERDALE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 02, 2020 09:16:56 AM","17##","WINDERMERE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 02, 2020 10:11:26 AM","10##","ELM","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 02, 2020 01:03:41 PM","32##","WOODLAWN","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 02, 2020 02:52:33 PM","26##","BERNARD","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 09:19:05 AM","7##","ERIE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 10:19:22 AM","10##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 11:07:25 AM","13##","BENJAMIN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 01:36:18 PM","30##","PARKWOOD","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 10:50:34 AM","29##","MARK","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 12:20:00 PM","50##","MALDEN","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 12:23:52 PM","37##","HOWARD","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 12:26:47 PM","8##","ERIE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 12:33:37 PM","4##","ROSELAWN","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 01:37:16 PM","22##","BETHLEHEM","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 20, 2020 11:26:50 AM","36##","MAGUIRE","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 20, 2020 01:37:00 PM","30##","RADISSON","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 20, 2020 02:50:16 PM","31##","ACADEMY","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 20, 2020 03:31:19 PM","10##","CATARAQUI","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 21, 2020 10:28:17 AM","6##","GRAND MARAIS","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 08:11:13 AM","2##","BELLEVIEW","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 08:16:39 AM","17##","CHILVER","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 08:42:49 AM","2##","GLADSTONE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 16, 2020 08:22:50 AM","24##","FESTIVAL","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 16, 2020 10:21:32 AM","21##","BYNG","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 16, 2020 12:30:18 PM","110##","FIRGROVE","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 08:47:57 AM","5##","BANWELL","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 10:10:57 AM","109##","RIVERSIDE","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 10:34:10 AM","3##","POMPANO","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 11:46:35 AM","108##","RIVERSIDE","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 11:48:46 AM","38##","TURNER","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 12:10:14 PM","37##","BLISS","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 12:31:49 PM","8##","RIVERDALE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 01:09:41 PM","27##","JEFFERSON","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 05, 2020 04:29:20 PM","2##","BARRACUDA","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 01:46:14 PM","17##","LONGFELLOW","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 02:01:18 PM","24##","ASKIN","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 02:18:29 PM","28##","BUTTERY","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 02:37:41 PM","30##","BRUCE","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 03:18:38 PM","92##","42","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 20, 2020 09:30:37 AM","48##","MALDEN","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 20, 2020 10:47:06 AM","38##","VAUGHAN","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 09:36:12 AM","15##","WESTCOTT","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 06, 2020 03:37:01 PM","30##","NORA","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 07, 2020 02:08:26 PM","27##","REMINGTON","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 08, 2020 09:13:16 AM","11##","LOUIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 08, 2020 12:53:13 PM","27##","BRAMLEY","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 08, 2020 01:27:20 PM","26##","SOUTHRIDGE","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 08, 2020 04:56:47 PM","10##","MONMOUTH","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 09:50:48 AM","15##","DOUGALL","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 03:04:27 PM","14##","PILLETTE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 11:04:58 AM","16##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 02:19:47 PM","5##","GROVE","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 02:47:59 PM","13##","GOYEAU","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 27, 2020 01:19:53 PM","13##","GOYEAU","WARD 3"," "
"Garbage Not Collected","Environmental Services","Web Intake","APR 29, 2020 08:38:18 AM"," "," ","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 09:30:12 AM","24##","OUELLETTE","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 10:21:28 AM","10##","BROOKVIEW","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 11:56:43 AM","27##","MELDRUM","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 01:23:13 PM","9##","WINDERMERE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 01:47:17 PM","9##","PEACH BLOSSOM","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 01:55:00 PM","44##","WALKER","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 20, 2020 10:55:29 AM","6##","LAKE TRAIL","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 20, 2020 01:13:43 PM","45##","BROTHERS","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 20, 2020 02:29:44 PM","17##","LONGFELLOW","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 20, 2020 03:15:35 PM","47##","ALPENROSE","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 15, 2020 08:41:08 AM","27##","BUCKINGHAM","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 23, 2020 11:08:50 AM","17##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 31, 2020 01:32:08 PM","10##","SILVERDALE","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 01, 2020 08:56:07 AM","29##","ORION","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 01, 2020 12:05:45 PM","10##","HOWARD","WARD 3"," "
"Garbage Not Collected","Environmental Services","Web Intake","APR 01, 2020 01:34:25 PM"," "," ","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 03:04:15 PM","4##","HAMNER","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 11:24:57 AM","15##","GOYEAU","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 11:49:38 AM","9##","ERIE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 12:02:54 PM","6##","BRIDGE","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 01:59:33 PM"," ","BONITA","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 02:09:26 PM","13##","MARIE","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 08:24:46 AM","17##","PILLETTE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 08:54:11 AM","9##","NOVA","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 08:57:40 AM","3##","GLADSTONE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 09:27:08 AM","9##","WALLACE","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 09:29:37 AM","8##","RIVERSIDE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 09:51:22 AM","11##","OAK","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 10:14:09 AM","3##","GLADSTONE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 01:03:00 PM","10##","WYANDOTTE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 30, 2020 01:18:52 PM","31##","LOEBACH","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 27, 2020 08:07:57 AM","30##","RADISSON","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 27, 2020 11:28:47 AM","23##","GLENWOOD","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 27, 2020 12:20:45 PM","5##","COMPTON","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 27, 2020 01:29:37 PM","37##","HOLBURN","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 27, 2020 04:43:32 PM","14##","PRINCE","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 28, 2020 10:42:34 AM","8##","OAK","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 28, 2020 01:05:40 PM","11##","WELLINGTON","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 28, 2020 02:27:36 PM","13##","DUFFERIN","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 28, 2020 03:24:05 PM","13##","DUFFERIN","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 29, 2020 08:30:13 AM","11##","VICTORIA","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 29, 2020 09:28:30 AM","8##","PELISSIER","WARD 3"," "
"Garbage Not Collected","Environmental Services","E-Mail","JAN 29, 2020 09:32:33 AM","7##","TUSCARORA","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 11:52:52 AM","6##","CHARLOTTE","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 20, 2020 08:32:17 AM","32##","RIBERDY","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 20, 2020 04:18:58 PM","38##","KING","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 21, 2020 08:30:17 AM"," ","PARK","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 03:30:21 PM","34##","DEERBROOK","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 06, 2020 10:13:19 AM","4##","MOY","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 09:06:03 AM","24##","GEORGE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 09:14:04 AM","24##","GEORGE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 12:26:47 PM","24##","GEORGE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Web Intake","MAY 07, 2020 12:51:09 PM"," "," ","WARD 5"," "
"Garbage Not Collected","Environmental Services","Web Intake","MAY 21, 2020 02:35:00 PM"," "," ","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 03:41:49 PM","8##","PILLETTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 03:58:36 PM","15##","HALL","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 11, 2020 12:29:35 PM","22##","RANDOLPH","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 29, 2020 10:38:21 AM","16##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 29, 2020 11:14:35 AM","8##","HOWARD","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 29, 2020 01:05:20 PM","8##","ALBERT","WARD 5"," "
