"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Garbage Not Collected","Environmental Services","Phone","JAN 29, 2020 01:06:09 PM","15##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 29, 2020 01:34:02 PM","6##","WINDERMERE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 29, 2020 03:23:58 PM","9##","BUCKINGHAM","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 11, 2020 01:06:50 PM","17##","GLADSTONE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 11, 2020 01:20:09 PM","31##","EMILIA","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 12, 2020 10:31:14 AM","12##","SETTLER'S","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 12, 2020 11:30:41 AM","4##","LOGAN","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 13, 2020 08:51:51 AM","21##","HOWARD","WARD 3"," "
"Garbage Not Collected","Environmental Services","E-Mail","MAY 13, 2020 09:17:16 AM","9##","PARENT","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 13, 2020 11:39:42 AM","42##","PATRICK","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 07, 2020 10:01:35 AM","49##","TECUMSEH","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 12, 2020 01:59:32 PM","12##","OAK","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 12, 2020 02:12:48 PM","11##","TUSCARORA","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 12, 2020 03:08:38 PM","13##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 12, 2020 03:40:38 PM","10##","MARION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 13, 2020 12:02:34 PM","23##","HOWARD","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 13, 2020 12:53:15 PM","5##","WINDERMERE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 10, 2020 03:37:56 PM","33##","ACADEMY","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 11, 2020 09:37:23 AM","11##","HIGHLAND","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 11, 2020 10:46:43 AM","6##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","E-Mail","FEB 07, 2020 01:00:06 PM","30##","AUSTEN","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 10, 2020 01:03:47 PM","14##","SPRUCEWOOD","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 08:58:24 AM","15##","CHURCH","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 11:39:23 AM","9##","PILLETTE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 08:45:14 AM","32##","MAISONNEUVE","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 16, 2020 11:58:53 AM","19##","LONGFELLOW","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 17, 2020 12:11:44 PM","42##","SHARON","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 17, 2020 12:45:43 PM","9##","ASKIN","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 17, 2020 12:51:25 PM","8##","LOUNSBOROUGH","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 17, 2020 03:15:17 PM","6##","CATARAQUI","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 10:19:51 AM","31##","LOEBACH","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 12:14:52 PM","24##","NORMAN","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 01:30:51 PM","24##","JOS ST LOUIS","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 27, 2020 08:02:59 AM","27##","CLEMENCEAU","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 13, 2020 09:30:54 AM","25##","SEMINOLE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 14, 2020 11:55:47 AM","9##","MATTHEW BRADY","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 13, 2020 01:41:29 PM","17##","CURRY","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 13, 2020 03:38:59 PM","33##","BYNG","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 13, 2020 03:45:52 PM","7##","MEMORIAL","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 14, 2020 11:07:07 AM","20##","OTTAWA","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 14, 2020 11:59:10 AM","96##","ESPLANADE","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 14, 2020 12:54:02 PM","4##","LORI","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 13, 2020 02:51:50 PM","12##","LAURENDEAU","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 14, 2020 03:52:04 PM","35##","WILDWOOD","WARD 7"," "
"Garbage Not Collected","Environmental Services","Web Intake","MAY 08, 2020 04:29:13 PM"," "," ","WARD 2"," "
"Garbage Not Collected","Environmental Services","Web Intake","MAY 08, 2020 05:34:06 PM"," "," ","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 11, 2020 08:58:37 AM","78##","HAWTHORNE","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 09, 2020 11:26:29 AM","31##","LOEBACH","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 09, 2020 01:40:45 PM","44##","8TH CON","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 09, 2020 04:40:12 PM","31##","MULBERRY","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 09:24:51 AM","16##","SUN VALLEY","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 10:07:39 AM","38##","BLACKBURN","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 11:10:58 AM","31##","CALIFORNIA","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 12:16:35 PM","3##","LOGAN","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 12:30:59 PM","64##","THORNBERRY","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 01:56:15 PM","7##","BRIDGE","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 03:36:42 PM","6##","BRIDGE","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 03:42:00 PM","9##","MARENTETTE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 22, 2020 11:51:14 AM","63##","WYANDOTTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 22, 2020 01:08:57 PM","71##","ISABELLE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 22, 2020 02:12:24 PM","65##","WYANDOTTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 22, 2020 03:59:24 PM","16##","WESTMINSTER","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 22, 2020 09:57:55 AM","3##","CHILVER","WARD 4"," "
"Garbage Not Collected","Environmental Services","Web Intake","JAN 09, 2020 06:36:48 PM"," "," ","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 10, 2020 04:54:02 PM","24##","LLOYD GEORGE","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 11:09:55 AM","38##","KING","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 02:08:58 PM","9##","PARTINGTON","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 20, 2020 08:04:25 AM"," ","CHATHAM","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 20, 2020 01:30:28 PM","3##","CARLING","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 30, 2020 12:09:10 PM","2##","THOMPSON","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 31, 2020 09:19:53 AM","13##","PRINCE","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 31, 2020 09:54:51 AM","6##","GILES","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 31, 2020 10:05:52 AM","13##","CRAWFORD","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 08, 2020 12:09:32 PM","19##","FRANCOIS","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 08, 2020 02:01:12 PM","10##","BUCKINGHAM","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 08, 2020 02:09:55 PM","2##","PIERRE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 31, 2020 02:24:56 PM","11##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 31, 2020 02:41:41 PM","43##","SPAGO","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 01, 2020 09:12:27 AM","2##","MOY","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 01, 2020 10:54:56 AM","18##","GLADSTONE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 01, 2020 12:18:57 PM","4##","WYANDOTTE","WARD 3"," "
"Garbage Not Collected","Environmental Services","Web Intake","APR 01, 2020 01:34:12 PM"," "," ","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 01, 2020 02:07:07 PM","9##","GLADSTONE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 20, 2020 10:32:44 AM","24##","DOMINION","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 23, 2020 01:16:50 PM","50##","ELYRIA","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 24, 2020 09:19:45 AM","25##","LLOYD GEORGE","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 27, 2020 08:21:26 AM","38##","BLACKBURN","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","APR 27, 2020 11:38:14 AM","15##","ARMANDA","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 27, 2020 12:54:46 PM","48##","MATCHETTE","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 27, 2020 01:55:02 PM","9##","RANDOLPH","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","APR 07, 2020 11:27:49 AM","16##","GOYEAU","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 07, 2020 02:45:28 PM","7##","BRANT","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 07, 2020 03:06:22 PM","7##","ASSUMPTION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 08, 2020 09:26:16 AM","42##","RIVERSIDE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 08, 2020 10:12:53 AM","11##","REEDMERE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 11:07:21 AM","47##","WHITEFISH","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 11:16:15 AM","12##","PARENT","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 11:19:40 AM","48##","PERIWINKLE","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 02:55:05 PM","11##","MARION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 03:38:23 PM","14##","ELSMERE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 04:44:14 PM","34##","BLISS","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 11, 2020 04:00:59 PM","11##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 10, 2020 03:47:36 PM","17##","MARENTETTE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 12:47:49 PM","36##","ACADEMY","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 02:58:38 PM","26##","RANDOLPH","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 11:24:18 AM","14##","SOUTH PACIFIC","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 15, 2020 09:49:27 AM","8##","ASSUMPTION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 15, 2020 12:58:20 PM","13##","DUFFERIN","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 08:42:20 AM","15##","YORK","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 10:03:41 AM","11##","WALKER","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 11:21:27 AM","15##","PELISSIER","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 12:07:37 PM","9##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 11, 2020 10:16:50 AM","15##","WESTCOTT","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 11, 2020 12:05:06 PM","12##","GEORGE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 11, 2020 01:14:13 PM","6##","TOURNIER","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 10:45:14 AM","22##","DANDURAND","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 24, 2020 02:28:13 PM","14##","BUDAPEST","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 02:20:05 PM","8##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 03:54:19 PM","21##","WINDERMERE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 09:56:55 AM","21##","MCDOUGALL","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 11:44:12 AM","11##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 11:58:52 AM","106##","CLAIRVIEW","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","APR 09, 2020 02:23:00 PM","25##","OLIVE","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 09, 2020 03:13:29 PM","25##","PILLETTE","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 14, 2020 08:05:11 AM","28##","BUTTERY","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 08:57:56 AM","10##","MARION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 09:28:24 AM","105##","BEVERLY GLEN","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 10:58:49 AM","14##","HALLMARK","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 11:50:53 AM","32##","CONSERVATION","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 12:35:58 PM","9##","BANWELL","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 12:49:36 PM","9##","CHATEAU","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 12:57:27 PM","16##","SHEPHERD","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 02:06:19 PM","7##","JANETTE","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 03:44:45 PM","112##","TIMBER BAY","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 26, 2020 11:59:32 AM","10##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 26, 2020 12:55:38 PM","14##","WESTCOTT","WARD 5"," "
"Garbage Not Collected","Environmental Services","E-Mail","FEB 26, 2020 02:54:01 PM","18##","LARKIN","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 09:00:40 AM","8##","BELLE ISLE VIEW","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 02, 2020 04:08:04 PM","24##","ROSSINI","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 26, 2020 03:46:14 PM","9##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 03, 2020 09:36:55 AM","11##","BELLAGIO","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 12:05:08 PM","22##","BYNG","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 12:12:44 PM","12##","COPPERFIELD","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 02:21:12 PM","3##","LAPORTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 12:40:06 PM","16##","NORTHWAY","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 26, 2020 01:46:17 PM","19##","KIRKLAND","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","APR 17, 2020 03:58:29 PM","54##","DOCHERTY","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 01:07:11 PM","8##","DAWSON","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 03:25:20 PM","17##","ST LUKE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 16, 2020 03:37:15 PM","7##","ELLIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 25, 2020 12:11:47 PM","44##","TUMBLEWEED","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 25, 2020 03:02:40 PM","45##","TIMBER","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 27, 2020 10:20:16 AM","13##","COPPERFIELD","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 27, 2020 04:40:35 PM","106##","TECUMSEH","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 27, 2020 04:46:43 PM","13##","DENBY","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 28, 2020 08:21:33 AM","63##","WYANDOTTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 28, 2020 08:31:24 AM","5##","FLORENCE","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 28, 2020 08:39:31 AM","63##","WYANDOTTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 28, 2020 09:13:15 AM","5##","FLORENCE","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 28, 2020 12:19:48 PM","65##","WYANDOTTE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 20, 2020 11:04:12 AM","24##","DOMINION","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 20, 2020 01:53:26 PM","36##","BRUCE","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 08:27:51 AM","5##","COMPTON","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 08:35:43 AM","26##","CABANA","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 08:35:51 AM","37##","DAYTONA","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 09:25:46 AM","3##","COUSINEAU","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 20, 2020 11:44:16 AM","11##","CAMPBELL","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 20, 2020 12:14:32 PM","13##","BENJAMIN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 21, 2020 03:51:47 PM","13##","PARENT","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 18, 2020 02:12:05 PM","21##","DOMINION","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 02:14:57 PM","6##","PIERRE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 02:33:30 PM","21##","DOUGALL","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 03:21:08 PM","41##","SPAGO","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 03:31:26 PM","13##","SHEPHERD","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 03:51:22 PM","11##","DOUGALL","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 03:54:23 PM","12##","GILES","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 19, 2020 04:12:19 PM","33##","WOODWARD","WARD 9"," "
"Garbage Not Collected","Environmental Services","Web Intake","FEB 19, 2020 05:06:58 PM"," "," ","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 20, 2020 09:08:50 AM","5##","CHARLES","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 20, 2020 12:21:31 PM","4##","ELM","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 20, 2020 12:28:16 PM","18##","WESTCOTT","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 20, 2020 02:37:03 PM","5##","NIAGARA","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 20, 2020 03:11:24 PM","15##","LILLIAN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 20, 2020 03:29:29 PM","10##","FORD","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 20, 2020 04:22:13 PM","15##","NORMAN","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 22, 2020 01:54:51 PM","28##","BRAMLEY","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 22, 2020 02:15:39 PM","22##","ALEXIS","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 22, 2020 03:18:42 PM","27##","ROBERT","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 21, 2020 09:27:07 AM","3##","BRUCE","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 04, 2020 08:43:00 AM","2##","BELLEVIEW","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 04, 2020 09:06:51 AM","8##","MONMOUTH","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 04, 2020 11:01:27 AM","22##","LARKIN","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 04, 2020 11:30:46 AM","15##","PILLETTE","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 11:07:11 AM","15##","LANGLOIS","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 21, 2020 11:46:27 AM","42##","CASGRAIN","WARD 1"," "
